state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
SC,Senate,43.99881819744717,40.657953563679264,3.2604437593747244,10.630493508045586,43.797435945020894,13.1386
SC,Governor,43.99881819744717,46.351231617614566,3.165512849109842,10.02047159787951,44.21064589889036,13.9217
SD,Senate,37.73126169633136,41.7702142926362,4.194674107051839,17.595290864371144,37.97472363222233,4.4339
SD,Governor,37.73126169633136,37.73126169633136,4.141866928530247,17.155061653652577,37.73126169633136,3.8817
TN,Governor,39.00946423705289,39.00946423705289,3.001457601829326,9.00874773557905,39.00946423705289,3.2638
TX,Governor,46.19313792977447,45.8776135895734,3.642299576714181,13.266346206532305,45.91640788833761,26.2641
UT,Senate,35.56991843466081,46.73583009255888,5.360301954400288,28.732837042347544,44.482508815826016,27.2576
VT,Senate,55.90886125872145,65.59350054146374,4.332554050666613,18.77102460194768,62.3338449085479,95.852
VT,Governor,55.90886125872145,34.46147894885005,5.4543262815784805,29.74967518591773,41.818077297713295,17.0979
WA,Senate,57.94769478577504,54.48730335230686,4.269858962872594,18.231695562823425,54.79963717163611,73.3993
WI,Senate,51.12298140331395,49.453922975047696,3.4207964819865344,11.70184857117145,49.643797601111075,47.8716
WI,Governor,51.12298140331395,50.39934039316682,3.4752177175514047,12.077138184383196,50.49277904916991,53.0762
WY,Governor,28.55131081895336,28.55131081895336,4.284669762877401,18.35839497691589,28.55131081895336,0.0889
