State,electoralvotes,whitenonHispanicPercent,BlackPercent,HispanicPercent,AsianPercent,AmericanIndianandAlaskaNativePercent,NativeHawaiianandOtherPacificIslanderPercent,evangelicalchristiansPercent,nonevanprotestant,mainlineprot,historicallyblackprotestant,CatholicPercent,MormonPercent,JewishPercent,nonreligiousPercent,Percenturban,Percentsuburban,Percentrural,medianhouseholdincome,medianage,Percentcollegedegree,Percentimmigrants,Percentvotebymail,costofvotingindex(2016),covidseverity(cases/1000people),"Latitude(centerofstate),degreesN","Longitude(centerofstate),degreesW",Voterturnout(VEPHighestOffice),TotalPopulation25+,VotingEligiblePopulation(VEP),Populationthatvoted,NonHispanicWhitePopulationwithCollege,NonHispanicWhitePopulationwithoutCollege,NonWhitePopulationwithCollege,NonWhitePopulationWithoutCollege,CollegeWhitePercentof25+Population,NonCollegeWhitePercentof25+Population,CollegeNonWhitePercentof25+Population,NonCollegeNonWhitePercentof25+Population,biden 2020,trump 2020,Clinton2016,Trump2016,Johnson2016,Obama2012,Romney2012,Obama2008,McCain2008,2018 house dem percent,2018 house GOp percent
Maryland,10,50.00,31.10,10.60,6.70,0.60,0.10,18.00,34.00,18.00,16.00,15.00,1.00,3.00,23.00,83.50,3.70,12.80,"81,868",38.80,39.60,3.50,73.00,0.74,18.80,39.140769,76.79776,0.664,"4,122,508","4,189,616","2,781,446","1,000,349","1,262,399","620,780","1,238,980",24,31,15,30,65.6,32.14,79.61,20.39,2.9,62,35.9,61.9,36.5,66.92417994,33.07582006
Massachusetts,11,71.10,9.00,12.40,7.20,0.50,0.10,9.00,12.00,10.00,2.00,34.00,1.00,3.00,32.00,91.97,1.67,8.03,"79,835",39.50,42.90,17.40,61.00,0.75,17.80,42.272291,71.36337,0.672,"4,727,515","4,948,028","3,325,046","1,661,268","1,947,291","359,078","759,878",35,41,8,16,65.36,32.15,53.99,46.01,4.2,60.7,37.5,61.8,36,79.60504597,20.39495403
Michigan,16,79.20,14.10,5.30,3.40,0.70,0.01,25.00,26.00,18.00,8.00,18.00,0.50,1.00,24.00,66.37,8.19,25.43,"54,938",39.80,28.60,6.70,71.00,0.82,12.13,42.873187,84.20343,0.647,"6,760,402","7,420,628","4,799,284","1,568,769","3,760,278","341,061","1,090,294",23,56,5,16,50.62,47.84,55.80,44.20,3.6,54,44.6,57.3,40.9,53.99090273,46.00909727
Minnesota,10,82.50,6.60,5.50,4.90,1.10,0.00,19.00,31.00,29.00,2.00,22.00,1.00,1.00,20.00,57.99,15.28,26.73,"68,411",38.20,35.40,7.10,57.00,0.57,15.43,45.203555,93.5719,0.741,"3,725,283","3,973,204","2,944,813","1,151,531","2,014,698","145,453","413,601",31,54,4,11,52.4,45.28,45.84,54.16,3.8,52.7,45,54.1,43.8,55.79734847,44.20265153
Mississippi,6,56.40,37.80,3.40,1.10,0.60,0.10,41.00,36.00,12.00,24.00,4.00,1.00,0.10,14.00,27.60,21.40,50.80,"44,717",37.70,21.80,2.30,71.00,1.30,29.30,32.3547,89.3985,0.552,"1,957,022","2,191,241","1,209,357","304,066","887,375","122,197","643,384",16,45,6,33,41.06,57.6,43.58,56.42,1.2,43.8,55.3,43,56.2,45.83921502,54.16078498
Missouri,10,79.10,11.80,4.40,2.20,0.60,0.20,36.00,22.00,16.00,6.00,16.00,1.00,0.00,20.00,56.60,13.80,29.60,"53,560",38.80,28.60,4.10,44.00,0.26,15.46,38.423798,92.19847,0.622,"4,121,014","4,517,925","2,808,605","1,005,793","2,404,772","166,857","543,592",24,58,4,13,41.41,56.8,47.61,52.39,3.4,44.3,53.6,49.2,49.4,43.57750756,56.42249244
Montana,3,88.90,0.60,4.10,0.90,6.70,0.10,28.00,15.00,14.00,1.00,17.00,4.00,0.00,21.00,26.50,29.40,44.10,"52,559",39.80,40.17,2.18,80.00,0.21,7.70,47.0527,109.6333,0.618,"712,616","804,250","497,147","204,175","435,385","16,431","56,625",29,61,2,8,40.55,56.92,37.97,62.03,5.6,41.7,55.3,47.1,49.5,47.61432406,52.38567594
Nebraska,5,78.20,5.20,11.40,2.70,1.50,0.10,25.00,26.00,24.00,2.00,23.00,1.00,0.50,20.00,53.80,19.40,26.90,"59,116",36.70,31.30,7.00,62.00,0.40,23.28,41.4925,99.9018,0.628,"1,243,820","1,343,821","844,227","352,431","695,757","38,541","157,091",28,56,3,13,48.59,49.93,52.77,47.23,4.6,38,59.8,41.6,56.5,37.97077106,62.02922894
Nevada,6,48.20,10.30,29.20,8.70,1.70,0.80,20.00,10.00,10.00,5.00,25.00,4.00,2.00,28.00,93.50,8.16,6.50,"57,598",38.20,24.20,19.00,64.00,0.35,26.75,37.043481,116.1917,0.574,"2,010,610","1,961,587","1,125,385","312,974","816,825","158,801","722,010",16,41,8,36,31.76,65.11,55.41,44.59,3.3,52.4,45.7,55.1,42.7,52.76826291,47.23173709
NewHampshire,4,89.80,1.80,4.00,3.00,0.30,0.01,13.00,17.00,16.00,1.00,26.00,1.00,2.00,36.00,47.33,12.97,39.70,"74,057",43.10,36.50,6.00,53.00,0.62,5.48,43.154858,71.46197,0.714,"947,586","1,042,795","744,296","320,062","556,795","26,616","44,113",34,59,3,5,52.71,45.36,54.36,45.64,4.1,52,46.4,54.1,44.5,55.40973008,44.59026992
NewJersey,14,54.60,15.10,20.90,10.00,0.60,0.10,13.00,18.00,12.00,6.00,34.00,1.00,6.00,18.00,91.90,2.40,5.70,"79,363",39.00,38.90,22.20,64.00,0.63,2.70,40.0583,74.4057,0.644,"6,171,172","6,013,656","3,874,046","1,570,198","2,079,091","809,604","1,712,279",25,34,13,28,57.33,41.4,60.77,39.23,1.9,58.2,40.5,57.1,41.6,60.77006483,39.22993517
NewMexico,5,36.80,2.60,49.30,1.80,11.00,0.20,23.00,15.00,14.00,1.00,34.00,2.00,0.50,21.00,53.75,23.68,22.57,"48,059",38.10,27.10,9.60,10.00,0.57,12.70,34.632744,106.3543,0.545,"1,391,381","1,464,515","798,319","247,966","368,259","130,267","644,889",18,26,9,46,54.29,43.5,60.42,39.58,9.3,53,42.8,56.9,41.8,60.4171807,39.5828193
NewYork,29,69.60,17.60,19.30,9.00,1.00,0.10,10.00,16.00,11.00,5.00,31.00,0.50,7.00,27.00,82.66,5.21,12.12,"65,323",39.00,35.90,22.60,63.00,0.06,4.30,41.501299,74.62091,0.568,"13,653,592","13,604,645","7,721,453","3,366,718","4,637,269","1,501,094","4,148,511",25,34,11,30,60.86,37.75,68.22,31.78,2.3,63.3,35.2,62.9,36,68.21878381,31.78121619
NorthCarolina,15,70.60,22.20,9.80,3.20,0.10,0.10,35.00,31.00,19.00,12.00,9.00,1.00,1.00,20.00,54.87,11.21,33.91,"48,486",38.90,30.50,7.90,48.00,0.04,16.97,35.7596,79.0193,0.645,"6,877,185","7,352,501","4,741,564","1,596,092","3,079,572","495,013","1,706,508",23,45,7,25,39.17,58.22,48.96,51.04,2.7,48.4,50.4,49.7,49.4,48.9635349,51.0364651
NorthDakota,3,86.90,3.40,4.10,1.70,5.60,0.10,22.00,29.00,28.00,1.00,26.00,0.50,0.50,20.00,59.90,17.75,40.10,"63,837",35.40,44.60,4.70,66.00,1.22,3.37,47.4501,100.4659,0.608,"495,015","566,783","344,360","135,425","301,245","10,898","47,447",27,61,2,10,50.06,47.67,37.14,62.86,6.2,38.7,58.3,44.5,53.2,37.14202211,62.85797789
Ohio,18,78.40,13.10,4.00,2.50,0.30,0.10,29.00,24.00,17.00,7.00,18.00,1.00,1.00,22.00,77.90,12.60,22.10,"54,533",39.50,27.80,4.50,64.00,0.81,11.40,40.064,81.529,0.629,"7,922,061","8,736,808","5,496,487","1,869,253","4,668,677","310,428","1,073,703",24,59,4,14,45.24,53.27,47.61,52.39,3.2,50.6,47.6,51.4,46.8,47.6149041,52.3850959
Oklahoma,7,65.00,7.80,11.10,2.40,9.40,0.20,47.00,22.00,18.00,4.00,8.00,1.00,1.00,18.00,45.79,20.46,33.76,"51,424",36.70,24.90,3.50,42.00,0.42,16.07,35.598464,96.83679,0.523,"2,571,636","2,778,219","1,452,992","511,271","1,345,934","137,394","577,037",20,52,5,22,32.29,65.37,36.97,63.03,5.7,33.2,66.8,34.4,65.6,36.96792792,63.03207208
Oregon,7,76.00,1.80,12.80,4.20,1.80,0.50,29.00,14.00,13.00,1.00,12.00,4.00,2.00,31.00,19.00,18.60,62.50,"59,393",39.60,32.90,9.90,90.00,2.06,6.68,44.743243,122.5852,0.662,"2,857,952","3,024,174","2,001,336","799,488","1,519,279","135,042","404,143",28,53,5,14,56.45,40.37,60.17,39.83,4.7,54.2,42.1,56.7,40.4,60.17269266,39.82730734
Pennsylvania,20,75.70,12.00,7.80,3.80,0.40,0.10,19.00,28.00,23.00,5.00,24.00,0.00,1.00,21.00,79.00,7.98,21.00,"59,445",40.80,30.80,6.80,58.00,0.37,11.30,41.2033,77.1945,0.636,"8,921,975","9,691,160","6,165,478","2,315,396","4,881,647","432,341","1,292,591",26,55,5,14,50.01,48.84,55.15,44.85,2.4,52,46.6,54.5,44.2,55.14751699,44.85248301
