state_po,office,BPI,polls,standard_deviation,variance,lean,dem_wins
VT,Senate,56.15878034603454,65.59350054146374,4.332554050666613,18.77102460194768,60.008860901611996,293
IN,Senate,42.425527027353304,48.275862068965516,2.6172439738939755,6.849966018884329,42.60229067310591,1
IL,Senate,57.92561636797813,60.67319830088264,5.695315255803787,32.43661586299136,59.76537284948428,287
VT,Governor,56.15878034603454,34.46147894885006,5.4543262815784805,29.749675185917734,47.71457570581277,105
IA,Senate,45.48922517079894,46.01065795622185,4.419802423676676,19.534653464338216,45.914111473464786,56
MO,Senate,43.486129318632,43.467261519921216,4.903025220835709,24.039656316151056,43.47842982745068,27
WA,Senate,57.70579619675985,54.48730335230686,4.269858962872594,18.231695562823425,54.98056551321538,258
UT,Senate,34.63911498915894,46.73583009255888,5.3603019544002874,28.732837042347544,42.04430542270933,15
PA,Governor,52.82561199113392,55.13068392233832,4.641957033977927,21.547765105297152,54.804224332226944,257
NE,Governor,37.20406430453101,46.06741573033708,4.4874313962992805,20.13704053649251,40.29369804238641,6
WY,Governor,28.107249760034733,NA,4.284669762877401,18.35839497691589,28.107249760034733,0
IA,Governor,45.48922517079894,40.383817704405544,4.46274223186808,19.916068228098887,41.69824075644421,10
OK,Governor,32.93317263321221,48.39250691299349,5.277764119793141,27.854794104175863,43.92838852216553,34
RI,Governor,63.578135446384664,57.227899230236545,5.906293170756109,34.884299018920245,60.063643952228354,291
NY,Governor,65.32853069219492,53.56413434029158,4.433793693196602,19.65852651382996,55.27237126580861,264
OH,Governor,45.36946540953566,39.397154618347905,4.601205302593064,21.171090236610524,40.15927193415609,5
IL,Governor,57.92561636797813,60.84380936079049,5.675368062891767,32.209802649291845,59.91354851807808,289
AK,Governor,42.3433331652549,NA,3.662409694796975,13.41324477254287,42.3433331652549,6
MD,Governor,59.59979409276956,68.18181818181817,4.514665096829714,20.38220093653245,62.59136126536431,300
SC,Governor,41.54253822537601,46.35123161761457,3.165512849109842,10.02047159787951,41.97554649657967,3
CO,Governor,54.26731181835789,58.13780516634613,4.116391686117252,16.944680513535236,57.154352882960396,291
MN,Governor,54.653649574637306,52.46712654795309,4.543017893175204,20.639011577710072,53.015563026097055,232
TX,Governor,45.20165731239877,45.87761358957341,3.6422995767141817,13.266346206532305,45.734495360544074,39
CT,Governor,58.52543353547439,57.64337455892965,2.362697290330131,5.5823384857333425,58.39474737080262,300
MI,Governor,52.098880907080236,53.13549811137679,4.287119999806599,18.379397892741736,53.00217709102022,229
AR,Governor,36.57954177713299,42.55121006804029,4.034434216657972,16.276659448540624,39.12389113240185,0
OK2,Senate,32.93317263321221,43.03713813743031,4.889803245956379,23.910175784165546,38.842569561885774,3
